Generation,Fitness
0,0.00194937956879
1,0.00126942410134
2,0.00169769874696
3,0.000242646933632
4,7.74268084564e-05
5,3.24140522917e-05
6,2.94802950626e-05
7,5.21211226822e-06
8,8.57065347371e-07
9,8.56816619209e-07
10,9.43368502009e-10
11,9.43368502146e-10
12,9.43368502146e-10
13,9.21863212292e-10
14,6.85850892109e-10
15,4.77061959725e-10
16,3.65321510635e-10
17,2.09713813156e-10
18,1.48358426002e-10
19,1.3044711161e-10
20,1.19914173568e-10
21,1.19785596847e-10
22,1.17704238295e-10
23,1.09857201727e-10
24,1.0982874204e-10
25,2.06707087381e-11
26,2.06707087381e-11
27,2.06696862857e-11
28,2.06696862857e-11
29,9.61661054034e-12
30,8.35128993973e-12
31,8.18819576483e-12
32,8.18819576483e-12
33,7.66537553033e-12
34,7.66537553033e-12
35,7.35833498071e-12
36,7.24422332429e-12
37,7.19755731692e-12
38,7.19755731692e-12
39,7.19755731692e-12
40,9.10431056313e-13
41,6.48939481416e-13
42,6.48939481416e-13
43,6.48894609662e-13
44,6.48345920883e-13
45,6.48345920883e-13
46,6.0150076851e-13
47,5.58629976473e-13
48,3.97287231038e-13
49,3.97285773579e-13
50,3.22044553493e-13
51,3.21961226273e-13
52,2.60164634428e-13
53,7.5419932513e-14
54,7.5419932513e-14
55,7.5419932513e-14
56,7.5398992128e-14
57,7.26134424518e-14
58,7.2591171712e-14
59,7.2591171712e-14
60,9.0159637928e-15
61,9.0159637928e-15
62,1.62505670441e-15
63,1.61735460019e-15
64,1.39959578647e-15
65,1.39546858067e-15
66,1.18945841431e-15
67,1.06318120878e-15
68,1.06318120878e-15
69,1.00460664993e-15
70,9.23315866351e-16
71,9.3104222335e-16
72,8.9965122661e-16
73,8.9965122661e-16
74,8.93365006852e-16
75,8.89720996987e-16
76,8.89720996987e-16
77,8.89517783628e-16
78,8.89517783628e-16
79,8.88302531794e-16
80,8.88302531794e-16
81,8.88300547831e-16
82,8.88300516837e-16
83,8.88218124569e-16
84,8.88218124569e-16
85,8.88192742369e-16
86,8.88188978306e-16
87,8.88185731112e-16
88,8.88183393264e-16
89,8.88180121181e-16
90,8.88180121181e-16
91,8.88179259681e-16
92,8.88179106235e-16
93,8.88179106235e-16
94,8.88178932892e-16
95,8.88178916377e-16
96,8.881784777e-16
97,8.881784777e-16
98,8.88178471222e-16
99,8.88178464435e-16
