Generation,Fitness
0,0.0202021410543
1,0.0200293112268
2,0.013695829203
3,7.66695557851e-05
4,1.88169809195e-06
5,1.88169804641e-06
6,1.88165194916e-06
7,7.6215735928e-07
8,7.32673668118e-07
9,4.0447978447e-07
10,4.0447978447e-07
11,4.04324786451e-07
12,3.87496602875e-07
13,3.86958379272e-07
14,3.83254331932e-07
15,3.83087895575e-07
16,3.7852743159e-07
17,1.80318595871e-08
18,1.80283490626e-08
19,1.80283490626e-08
20,1.80283490602e-08
21,1.80278845318e-08
22,1.79815378516e-08
23,1.52830438057e-08
24,1.52829866208e-08
25,1.52829866203e-08
26,1.5225815284e-08
27,1.52193501667e-08
28,1.50914740075e-08
29,1.50909809899e-08
30,1.50909809899e-08
31,1.50676477057e-08
32,1.50568024535e-08
33,1.49805397089e-08
34,1.49802851073e-08
35,1.49566297595e-08
36,1.49546750253e-08
37,1.49329286587e-08
38,1.49326759103e-08
39,1.4925728809e-08
40,1.49134203966e-08
41,1.49125938417e-08
42,1.49125938417e-08
43,6.84167866146e-12
44,4.75558577827e-12
45,3.68150626129e-12
46,1.00081888987e-13
47,1.38935291133e-14
48,1.38652496079e-14
49,1.37450546464e-14
50,1.37450546464e-14
51,1.16475385238e-14
52,1.01221293447e-14
53,1.01221293447e-14
54,1.01221293447e-14
55,1.01221280486e-14
56,9.72078850741e-15
57,9.72078770336e-15
58,9.47979849797e-15
59,9.47186324212e-15
60,9.41719095872e-15
61,5.28026345347e-15
62,5.28026345347e-15
63,5.27917243864e-15
64,4.8712012993e-15
65,4.72439861701e-15
66,4.68911913e-15
67,1.3934294154e-15
68,1.3934294154e-15
69,1.3934294154e-15
70,1.39342331105e-15
71,1.38949425904e-15
72,1.38948846556e-15
73,1.38948846556e-15
74,1.38948837864e-15
75,1.3879953273e-15
76,1.3879953273e-15
77,1.38799559983e-15
78,1.38778882284e-15
79,1.38778882284e-15
80,1.38778882284e-15
81,1.38778882284e-15
82,1.38778774603e-15
83,1.38778774603e-15
84,1.3877801078e-15
85,1.3877801078e-15
86,1.38777997774e-15
87,1.38777926418e-15
88,1.38777925526e-15
89,1.38777906098e-15
90,1.38777888245e-15
91,1.38777899884e-15
92,1.38777885751e-15
93,1.38777885751e-15
94,1.38777885749e-15
95,1.38777885141e-15
96,1.38777884922e-15
97,1.38777882436e-15
98,1.38777881816e-15
99,1.38777881816e-15
