Type,Trans Date,Post Date,Description,Amount,Category,Memo
Sale,2/27/17,2/28/17,AUTO OWNERS INSURANCE CO,-932.27,null,null
Sale,2/26/17,2/27/17,AFC URGENT CARE,-115.0,null,null
Sale,2/26/17,2/27/17,FAMILY FARE 0339,-12.58,null,null
Sale,2/25/17,2/27/17,EXXONMOBIL    96077060,-27.64,null,null
Sale,2/25/17,2/26/17,FAMILY FARE 0137,-62.45,null,null
Sale,2/25/17,2/26/17,ROUGE SALON,-44.0,null,null
Sale,2/24/17,2/26/17,FAMILY FARE 0339,-17.79,null,null
Sale,2/23/17,2/24/17,FAMILY FARE 0339,-15.87,null,null
Sale,2/23/17,2/24/17,PALACE OF INDIA,-27.35,null,null
Sale,2/23/17,2/24/17,FAMILY FARE 0339,-6.39,null,null
Sale,2/23/17,2/24/17,FAMILY FARE 0339,-16.11,null,null
Sale,2/22/17,2/23/17,HOPCAT,-19.38,null,null
Sale,2/20/17,2/22/17,MCDONALD'S M6324 OF MI,-3.79,null,null
Sale,2/20/17,2/21/17,DERMATOLOGY AT MIDTOWNE,-60.0,null,null
Sale,2/19/17,2/20/17,SPEEDWAY 03574 275,-1.58,null,null
Sale,2/19/17,2/22/17,BIG APPLE BAGELS,-8.63,null,null
Sale,2/19/17,2/20/17,PANERA BREAD #3736,-5.37,null,null
Sale,2/19/17,2/19/17,INTUIT *TURBOTAX,-66.98,null,null
Sale,2/18/17,2/19/17,FAMILY FARE 0339,-31.14,null,null
Sale,2/18/17,2/19/17,SPEEDWAY 03574 275,-1.58,null,null
Sale,2/18/17,2/19/17,G.B. RUSSO &amp; SON,-72.56,null,null
Sale,2/18/17,2/19/17,SQ *GIRL SCOUT TROOP 4645,-12.0,null,null
Sale,2/18/17,2/20/17,ZS BAR &amp; RESTAURANT,-26.73,null,null
Sale,2/18/17,2/19/17,FORD MUSEUM ADMIS,-12.0,null,null
Sale,2/17/17,2/19/17,JCPENNEY 1580,-68.89,null,null
Sale,2/17/17,2/19/17,SPEEDWAY 03574 275,-33.3,null,null
Sale,2/17/17,2/19/17,SPEEDWAY 03574 275,-15.44,null,null
Sale,2/17/17,2/19/17,OLIVE GARDEN  00010884,-12.5,null,null
Sale,2/16/17,2/19/17,LITTLE CAESARS 1436 0009,-3.7,null,null
Sale,2/15/17,2/17/17,ADMIRAL PETROLEUM CO,-20.23,null,null
Sale,2/14/17,2/15/17,FAMILY FARE 0339,-18.07,null,null
Sale,2/14/17,2/15/17,ULTA.COM,-72.07,null,null
Sale,2/12/17,2/13/17,ETSY.COM,-14.67,null,null
Sale,2/12/17,2/13/17,SPEEDWAY 03574 275,-1.86,null,null
Sale,2/12/17,2/13/17,ETSY.COM,-5.67,null,null
Sale,2/12/17,2/13/17,FAMILY FARE 0339,-63.2,null,null
Sale,2/12/17,2/13/17,ETSY.COM,-25.5,null,null
Sale,2/11/17,2/13/17,CANTINA MEXICAN RESTAURAN,-38.49,null,null
Sale,2/11/17,2/12/17,SPEEDWAY 03574 275,-1.58,null,null
Sale,2/10/17,2/12/17,FAMILY FARE 0339,-33.19,null,null
Sale,2/10/17,2/10/17,COMCAST,-47.99,null,null
Sale,2/8/17,2/9/17,FAMILY FARE 0339,-14.63,null,null
Sale,2/8/17,2/9/17,FMLY FARE QUICK STOP #771,-30.64,null,null
Sale,2/7/17,2/9/17,ADMIRAL PETROLEUM CO,-20.16,null,null
Sale,2/7/17,2/8/17,INK CARDS &amp; POSTAGRAM,-4.98,null,null
Sale,2/6/17,2/7/17,UBER TECHNOLOGIES INC,-10.58,null,null
Sale,2/6/17,2/7/17,PALMER SERVICE INC,-311.15,null,null
Sale,2/5/17,2/6/17,FAMILY FARE 0339,-61.97,null,null
Sale,2/5/17,2/6/17,G.B. RUSSO &amp; SON,-43.51,null,null
Sale,2/5/17,2/6/17,IPHONE CITIZ*PMT 4 OF 24,-41.58,null,null
Sale,2/5/17,2/6/17,CHAP BOOK CAFE,-8.37,null,null
Sale,2/5/17,2/6/17,SOUTHLAND AUTOWASH TWO,-7.0,null,null
Sale,2/4/17,2/5/17,WALGREENS #10080,-4.23,null,null
Sale,2/4/17,2/5/17,D&amp;W 1588,-0.99,null,null
Sale,2/4/17,2/6/17,CONTINENTAL LANES,-55.0,null,null
Sale,2/3/17,2/5/17,RCMA,-7.5,null,null
Sale,2/3/17,2/5/17,PAYPAL *PARKMOBILE,-1.0,null,null
Sale,2/3/17,2/5/17,GVSU AFFILLIATES,-35.0,null,null
Sale,2/2/17,2/3/17,PALACE OF INDIA,-35.58,null,null
Sale,2/2/17,2/3/17,SPEEDWAY 03574 275,-32.55,null,null
Sale,2/2/17,2/5/17,LULUS.COM,-145.0,null,null
Sale,2/1/17,2/2/17,SQ *BETTER WAY IMPORTS GO,-2.86,null,null
Sale,1/31/17,2/2/17,CELEBRATION CINEMA GRN,-30.5,null,null
Sale,1/31/17,2/2/17,ADMIRAL PETROLEUM CO,-18.82,null,null
Sale,1/30/17,1/31/17,AUTO OWNERS INSURANCE CO,-11.62,null,null
Sale,1/29/17,1/30/17,KILWINS CHOCOLATES GRAND,-4.23,null,null
Sale,1/29/17,1/30/17,MEIJER #216        Q01,-126.26,null,null
Sale,1/29/17,1/30/17,PEPPERMILL CAFE,-12.99,null,null
Sale,1/28/17,1/29/17,STUDIO NAILS,-50.0,null,null
Sale,1/28/17,1/29/17,SPEEDWAY 03574 275,-3.57,null,null
